Goal;Comment;Points;Progress
Work through OpenAI API guides;Usage guidelines and app review processs;30;100
"Reimplement ""training language models with language feedback""";Main task this week;25;70
Publish Transformer Exercise ;https://colab.research.google.com/drive/1AmD29nHXB0icP-WSuSnb_-987-M8eHmX#scrollTo=N3Y_aIpM26Sp;15;100
NYU Deep Learning Course Week 12;Prepare for meeting with Bálint;20;100
Attend EA meeting in Budapest;;5;100
Create standard weekly schedule;;5;100
Bonus: Check out Deep RL course;;5;100
Total ;;;
