Goal;Comment;Points;Progress
Full Stack Deep Learning Notebooks;;25;100
Apply to Research Assistant Position;;15;100
Get summary statistics on OpenAI dataset ;;15;100
Explore SF;;10;100
Explore Palo Alto;;10;100
Setup Weights and Biases;;5;100
Total ;;;
