Goal;Comment;Points;Progress
Finetune 3 different models ;;25;100
Compare experimental setups (OpenAI vs Ours);;20;50
Draft Final Post;;15;50
Draft Final Deliverable Presentation;;15;100
FSDL: Lab 4;;10;50
Finish Final deliverable notebook;;10;100
FSDL: Lecture 2;;5;100
Total ;;;
