Goal;Comment;Points;Progress
"Reimplement ""Training Language Models with Language Feedback""";;25;20
Finish Software Engineering practices for Data Scientists;;15;100
Create blog ;;25;100
Apply to Future Forum;;10;100
Apply to Future Academy;;5;100
Code Proximal Policy Optimization (PPO);;5;50
Code Generalized Advantage Estimation (GAE);;5;100
Creat Github repo for CHERI project;;5;0
Do CHERI project planning;;5;100
Total ;;;
